treatment,batch,roi,fold_change,,
control,1,758,0.789480536,,
control,1,693,0.721781018,,
control,1,1084,1.129019659,,
control,1,1123,1.16963937,,
control,1,1517,1.580002604,,
control,1,1520,1.583127197,,
control,1,489,0.509308684,,
control,1,497,0.517640932,,
ang2_cs,1,2443.5,2.544981122,,
ang2_cs,1,2285,2.379898451,,
ang2_cs,1,4150,4.32235386,,
ang2_cs,1,3592,3.741179534,,
ang1_cs,1,1934.8,2.015154277,,
ang1_cs,1,1729,1.800807187,,
ang1_cs,1,543,0.56555136,,
ang1_cs,1,641,0.667621403,,
ang1_cs,1,1467,1.527926051,,
ang1_cs,1,1183.4,1.232547845,,
ang1_cs,1,1154.5,1.202447598,,
ang1_cs,1,884,0.920713449,,
cs,1,4114.9,4.28579612,,
cs,1,3816,3.974482489,,
cs,1,2520,2.624658248,,
cs,1,2707,2.819424554,,
cs,1,2480,2.582997006,,
cs,1,2758,2.872542638,,
cs,1,2386,2.485093087,,
cs,1,4262,4.439005338,,
cs,1,3800,3.957817992,,
ang2,1,2601,2.709022263,,
ang2,1,2936,3.057935165,,
ang2,1,2284,2.37885692,,
ang2,1,1933,2.013279521,,
ang2,1,2509,2.613201406,,
ang2,1,2050,2.135138654,,
ang2,1,1979,2.061189949,,
ang2,1,2144,2.233042573,,
control,2,1066,1.041905925,,
control,2,1181,1.154306659,,
control,2,1167,1.140623091,,
control,2,1243,1.214905315,,
control,2,1194,1.167012828,,
control,2,908,0.887477092,,
control,2,767,0.74966402,,
control,2,659,0.64410507,,
cs,2,2418,2.363347587,,
cs,2,2582,2.523640806,,
cs,2,2650,2.590103849,,
cs,2,2833,2.768967624,,
cs,2,2163,2.114111179,,
cs,2,2364,2.310568112,,
arg_cs,2,751,0.734025657,,
arg_cs,2,1147,1.121075137,,
arg_cs,2,1162,1.135736103,,
arg_cs,2,1380,1.348808797,,
arg_cs,2,727,0.710568112,,
arg_cs,2,564,0.551252291,,
arg_cs,2,1196,1.168967624,,
arg_cs,2,874,0.854245571,,
lname_ang1,2,620,0.605986561,,
lname_ang1,2,503,0.491631032,,
lname_ang1,2,441,0.431032376,,
lname_ang1,2,563,0.550274893,,
lname_ang1,2,1177,1.150397068,,
lname_ang1,2,1041,1.017470984,,
lname_ang1,2,852,0.832742822,,
lname_ang1,2,1050,1.026267563,,
lname_cs,2,946,0.924618204,,
lname_cs,2,744,0.727183873,,
lname_cs,2,441,0.431032376,,
lname_cs,2,469,0.458399511,,
lname_cs,2,644,0.629444105,,
lname_cs,2,521,0.509224191,,
control,3,1033,1.336351876,,
control,3,1229,1.589909444,,
control,3,408,0.527813713,,
control,3,517,0.668822768,,
control,3,676,0.874514877,,
control,3,775,1.002587322,,
cs,3,2745,3.551099612,,
cs,3,2877,3.721862872,,
cs,3,2445,3.163001294,,
cs,3,2529,3.271668823,,
aa_cs,3,686,0.887451488,,
aa_cs,3,958,1.239327296,,
aa_cs,3,1235,1.59767141,,
aa_cs,3,1101,1.424320828,,
aa_cs,3,1149,1.486416559,,
aa_cs,3,1312,1.697283312,,
aa_cs,3,712,0.921086675,,
aa_cs,3,828,1.071151358,,
aa_cs,3,418,0.540750323,,
aa_cs,3,541,0.699870634,,
ang2_cs,3,2135,2.761966365,,
ang2_cs,3,3586,4.639068564,,
ang2_cs,3,1855,2.399741268,,
ang2_cs,3,1881,2.433376455,,
ang2_cs,3,1881,2.433376455,,
ang2_cs,3,2576,3.332470893,,
lname_cs,3,1217,1.574385511,,
lname_cs,3,1397,1.807244502,,
lname_cs,3,418,0.540750323,,
lname_cs,3,590,0.763260026,,